"key","zhValue","enValue"
"A00000","操作成功",""
"A01403","权限不足",""
"A02000","请重新登录",""
"A02001","账户被禁用",""
"B00001","验证码错误",""
"B00002","无效参数",""
"B00003","数据未找到",""
"B00004","非法token签名",""
"B00005","token过期",""
"B00006","非法token",""
"B00007","用户未设置密码",""
"B00008","账号或密码错误",""
"B00009","token生成失败",""
"B00200","操作失败，请重试",""
"B00203","banner不存在",""
"B00012","不能编辑管理员",""
"B00010","角色不能为空",""
"B00013","权限不能为空",""
"B00014","当前角色有用户使用。请进入‘系统管理-用户管理’搜索具有该角色权限的用户。取消配置给该用户的本角色",""
"B00011","非法权限编码",""
"B00015","该用户已填写邀请码不可重复填写",""
"B00016","只能操作自己的账号",""
"B00018","邀请码不存在，请重新输入",""
"B00017","状态不合法，操作失败",""
"B00204","文件超过10M",""
"C00001","名称已存在",""
"C00002","账号已存在",""
"C00201","linkUrl必填",""
"C00202","linkH5必填",""
"C00203","上传文件不能为空",""
"C00003","用户密码格式错误",""
"C00004","邮箱不能为空",""
"C00005","手机号前缀不能为空",""
"C00006","手机号不能为空",""
"C00204","排序类型错误",""
"C00401","引导算力不能超过8位算力单位数",""
"C00007","app价值不能为空",""
"C00008","web价值不能为空",""
"D00001","邮箱格式不正确",""
"D00002","不能为空",""
"D00003","最长为20字符",""
"D00005","banner主图必填",""
"D00006","banner标题必填",""
"D00007","banner详情类型必填",""
"D00008","手机号码最长11位",""
"D00009","邀请码错误",""
"D00010","非法状态值",""
"D00011","权重值应在1-99之间",""
"D00012","最长为30字符",""
"D00401","引导算力不能为负数",""
"D00013","状态值错误[0, 1]",""
"D00402","输入值不能<=0",""
"D00015","输入值超过范围(1-999)",""
"D00016","输入值超过范围(1-4194304)",""
"D00017","输入值超过范围(1-100)",""
"D00020","输入值超过范围(0-9999)",""
"D00022","输入值超过范围(0-999999)",""
"E00000","服务器错误",""
"B00020","获取验证码超过次数，请明日再试",""
"D00403","长度不超过100",""
"D00404","长度不超过30",""
"C00402","地址已存在",""
"C00403","文件太大",""
"C00404","密码不能为空",""
"C00405","无法获取文件上传内容",""
"C00406","keystore 解析错误",""
"C00407","keystore 密码错误",""
"B00401","数据不唯一",""
"B00402","eth keystore生成错误",""
"C00410","最小提币量必须大于手续费",""
"C00009","交易密码和登录密码相同，请重新输入",""
"B00021","不能修改注册账号",""
"C00010","邮箱已经存在",""
"C00011","手机号已经存在",""
"B00022","注册账号不合法",""
"B00023","实名认证不可重复提交",""
"B00024","未获取实名认证视频码",""
"B00025","图片不能为空",""
"C00408","当前地址格式错误，请更改",""
"C00409","操作失败，请确认私钥正确性并重试",""
"C00012","手机号前缀不正确",""
"B00026","不能删除用户的图片",""
"D00014","金额输入超出范围",""
"C00013","国家码不正确",""
"B00403","已经有钱包，无法初始化钱包",""
"B00404","业务钱包禁止互转",""
"B00405","余额不足",""
"B00406","1. 请勿向上述地址充值任何非ETH资产，否则资产将不可找回。\n\n2 充值需整个网络节点的确认，12次网络确认后到账 。\n\n3 最小充值金额：0.01ETH，小于最小金额的充值将不会上账且无法追回。",""
"B00407","1. 请勿向上述地址充值任何非BTC资产，否则资产将不可找回。\n\n2 充值需整个网络节点的确认，1次网络确认后到账。\n\n3 最小充值金额：0.01BTC，小于最小金额的充值将不会上账且无法追回。",""
"B00408","1. 请勿向上述地址充值任何非ERC20_USDT资产，否则资产将不可找回。\n\n2 充值需整个网络节点的确认，12次网络确认后到账。\n\n3 最小充值金额：1USDT，小于最小金额的充值将不会上账且无法追回。",""
"B00409","1. 请勿向上述地址充值任何非USDT_OMNI资产，否则资产将不可找回。\n\n2 USDT充币仅支持simple seed的方法，使用其他方法（send all）的充币暂时无法上账，请您谅解。\n\n3 充值需整个网络节点的确认，1次网络确认后到账。\n\n4 最小充值金额：20USDT。",""
"B00027","非法参数",""
"C00014","地址不正确",""
"C00411","无效区块链",""
"C00412","无效提币地址",""
"C00414","余额不足",""
"B00413","客户不存在",""
"B00414","未设置交易密码",""
"B00415","有未完成的转账审核",""
"B00423","产品库存不足",""
"B00424","暂无更多官方产品",""
"B00418","无效的区块链",""
"B00417","交易密码错误",""
"B00028","注册账号列表不能为空",""
"B00029","已分配，不能删除算力模板",""
"B00030","已禁用，不能分配算力模板",""
"C00420","分成比例异常:分成比例+加成比例<=100%",""
"C00421","请输入备注",""
"C00422","名称重复",""
"B00419","无效的钱包类型",""
"C00015","地址非法",""
"B00031","编号不能为空",""
"C00016","有效期开始时间不能为空",""
"C00017","有效期结束时间不能为空",""
"C00018","有效期开始天数不能为空",""
"C00019","有效期结束天数不能为空",""
"B00032","开始时间必须小于结束时间",""
"B00033","开始天数必须小于等于结束天数",""
"B00034","已分配，不能删除算力劵",""
"B00420","地址非法",""
"B00421","无法删除产品模板,已存在相关的产品",""
"C00423","产品模板已被禁用,无法发布新产品",""
"C00020","钱包地址已存在",""
"D00018","不能为负",""
"B00601","交易失败",""
"C00601","地址重复",""
"B00035","优惠劵不可用",""
"B00422","产品已下架或关机",""
"C00424","下架算力单价不可高于算力单价",""
"C00602","非法基础业务类型",""
"C00603","非法基础业务值",""
"C00604","输入范围1-10",""
"B00036","剩余算力过少",""
"B00037","同系列算力数量不足",""
"B00038","算力售价变更，3S后自动获取最新价格，请重新确认",""
"C00605","非法动态最大矿费价格",""
"C00606","非法静态矿费价格",""
"C00607","非法矿费id",""
"C00608","ios 版本重复",""
"C00609","android 版本重复",""
"B00602","非法的矿工费预设",""
"B00039","暂无法质押，请明日再试",""
"D00019","不支持当前值排序",""
"B00603","nonce值没有，无法重新打包",""
"B00604","油价偏低",""
"B00605","异常的重复打包状态",""
"B00040","自己不能投资自己的质押",""
"B00041","当前有'待认购'的质押算力，无法再次发起质押",""
"C00021","编号不能为空",""
"B00425","推广等级加成数额不可为空",""
"B00426","当前推广等级已存在用户,不可删除",""
"B00427","你很聪明,但这行不通",""
"B00606","解密错误",""
"B00607","加密错误",""
"C00610","不是支付钱包",""
"B00042","质押时间未到，不能还款",""
"B00043","账号不存在",""
"C00022","有效期结束时间必须大于现在",""
"B00044","算力劵已过期，不能分配",""
"B00045","算力劵已过期，不能启用",""
"C00611","提币数量太小",""
"B00428","推广等级上限为10条",""
"C00612","无效的转账来源地址",""
"C00613","无效的转账目标地址",""
"C00614","无效的转账目标地址",""
"B00046","已失效",""
"B00429","当前分组有客户，无法删除",""
"B00430","当前转让已失效",""
"B00047","结束排名大于等于开始排名",""
"B00048","类型不匹配",""
"B00431","请输入查询的起始时间和结束时间",""
"D00021","内容过长",""
"B00432","违规操作",""
"B00608","支付钱包余额不足",""
"B00049","仅限新注册客户领取",""
"B00433","无法修改模板状态,该模板已关机",""
"D00023","最长为60字符",""
"B00050","币价过低开机失败",""
"B00051","算力不足开机失败",""
"C00023","自己不能绑定自己",""
"C00024","绑定用户不存在",""
"B00052","实名证件已认证，请检查",""